date,max_kp,g_category,max_xray_flux_wm2,max_xray_class,flare_category,proton_event_s1plus
2026-07-29,,,1.665920876803284e-06,B1.7,C,False
2026-07-30,,,1.904200325952843e-05,C1.9,C,True
2026-07-31,,,3.998729880549945e-06,B4.0,C,True
2026-08-01,,,2.503799123587669e-06,B2.5,C,True
2026-08-02,,,1.2924639349876088e-06,B1.3,C,False
2026-08-03,,,1.4043042710909504e-06,B1.4,C,False
2026-08-04,,,1.2943984302182798e-06,B1.3,C,False
2026-08-05,,,9.245565024684765e-07,A9.2,None,False
2026-08-06,,,1.0183358654103358e-06,B1.0,C,False
2026-08-07,,,7.129675623218645e-07,A7.1,None,False
2026-08-08,,,7.638600436621346e-07,A7.6,None,False
2026-08-09,,,1.830920041356876e-06,B1.8,C,False
2026-08-10,,,2.4101893814076902e-06,B2.4,C,False
2026-08-11,,,2.544618837418966e-06,B2.5,C,False
2026-08-12,,,5.611478854916641e-07,A5.6,None,False
2026-08-13,,,9.223667802871205e-07,A9.2,None,False
2026-08-14,,,4.364234428066993e-06,B4.4,C,False
2026-08-15,,,3.316828951938078e-06,B3.3,C,False
2026-08-16,,,8.215540219680406e-06,B8.2,C,False
2026-08-17,,,3.296542445241357e-06,B3.3,C,False
2026-08-18,,,2.8210970413056202e-06,B2.8,C,False
2026-08-19,,,1.0034504157374613e-05,C1.0,C,False
2026-08-20,,,8.123743464238942e-05,C8.1,C,False
